prompt,code
"एक ब्लॉग के लिए User और Post डेटाबेस मॉडल बनाओ","""# In models.py\nfrom flask_sqlalchemy import SQLAlchemy\ndb = SQLAlchemy()\n\nclass User(db.Model):\n    id = db.Column(db.Integer, primary_key=True)\n    username = db.Column(db.String(80), unique=True, nullable=False)\n\nclass Post(db.Model):\n    id = db.Column(db.Integer, primary_key=True)\n    title = db.Column(db.String(120), nullable=False)\n    content = db.Column(db.Text, nullable=False)\n    author_id = db.Column(db.Integer, db.ForeignKey('user.id'))"""
"Flask ऐप को SQLAlchemy डेटाबेस के साथ कॉन्फ़िगर करो","""# In app.py\nfrom flask import Flask\nfrom models import db\n\napp = Flask(__name__)\napp.config['SQLALCHEMY_DATABASE_URI'] = 'sqlite:///blog.db'\ndb.init_app(app)"""
"सभी ब्लॉग पोस्ट्स को लौटाने वाला एक API एंडपॉइंट बनाओ","""@app.route('/api/posts', methods=['GET'])\ndef get_all_posts():\n    posts = Post.query.all()\n    return jsonify([{'id': p.id, 'title': p.title} for p in posts])"""
"एक सिंगल ब्लॉग पोस्ट को ID से लौटाने वाला API बनाओ","""@app.route('/api/posts/<int:post_id>', methods=['GET'])\ndef get_post(post_id):\n    post = Post.query.get_or_404(post_id)\n    return jsonify({'title': post.title, 'content': post.content})"""
"एक नया ब्लॉग पोस्ट बनाने के लिए एक API एंडपॉइंट बनाओ","""@app.route('/api/posts', methods=['POST'])\ndef create_post():\n    data = request.json\n    new_post = Post(title=data['title'], content=data['content'])\n    db.session.add(new_post)\n    db.session.commit()\n    return jsonify({'id': new_post.id}), 201"""
"एक ब्लॉग पोस्ट को अपडेट करने के लिए एक API एंडपॉइंट बनाओ","""@app.route('/api/posts/<int:post_id>', methods=['PUT'])\ndef update_post(post_id):\n    post = Post.query.get_or_404(post_id)\n    data = request.json\n    post.title = data.get('title', post.title)\n    post.content = data.get('content', post.content)\n    db.session.commit()\n    return jsonify({'message': 'Post updated'})"""
"एक ब्लॉग पोस्ट को डिलीट करने के लिए एक API एंडपॉइंट बनाओ","""@app.route('/api/posts/<int:post_id>', methods=['DELETE'])\ndef delete_post(post_id):\n    post = Post.query.get_or_404(post_id)\n    db.session.delete(post)\n    db.session.commit()\n    return jsonify({'message': 'Post deleted'})"""
"Flask-Migrate का उपयोग करके डेटाबेस माइग्रेशन सेटअप करो","""from flask_migrate import Migrate\nmigrate = Migrate(app, db)"""
"Alembic माइग्रेशन स्क्रिप्ट बनाओ","flask db migrate -m 'Initial migration.'"
"Alembic माइग्रेशन को डेटाबेस पर अप्लाई करो","flask db upgrade"
"एक Flask कमांड बनाओ जो डेटाबेस को इनिशियलाइज़ करे","""@app.cli.command('init-db')\ndef init_db_command():\n    db.create_all()\n    print('Initialized the database.')"""
"ब्लॉग के लिए एक 'Comment' मॉडल बनाओ","""class Comment(db.Model):\n    id = db.Column(db.Integer, primary_key=True)\n    text = db.Column(db.String(200), nullable=False)\n    post_id = db.Column(db.Integer, db.ForeignKey('post.id'))"""
"एक पोस्ट के सभी कमेंट्स को लौटाने वाला API बनाओ","""@app.route('/api/posts/<int:post_id>/comments')\ndef get_comments(post_id):\n    comments = Comment.query.filter_by(post_id=post_id).all()\n    return jsonify([{'text': c.text} for c in comments])"""
"एक पोस्ट पर नया कमेंट करने के लिए API बनाओ","""@app.route('/api/posts/<int:post_id>/comments', methods=['POST'])\ndef add_comment(post_id):\n    new_comment = Comment(text=request.json['text'], post_id=post_id)\n    db.session.add(new_comment)\n    db.session.commit()\n    return jsonify({'id': new_comment.id})"""
"ब्लॉग पोस्ट मॉडल में एक 'created_at' फील्ड जोड़ो","""created_at = db.Column(db.DateTime, default=datetime.utcnow)"""
"पोस्ट्स को लेटेस्ट पहले के क्रम में क्वेरी करो","""posts = Post.query.order_by(Post.created_at.desc()).all()"""
"एक API बनाओ जो पोस्ट्स को पेजिनेट (paginate) करे","""@app.route('/api/posts-paginated')\ndef get_paginated_posts():\n    page = request.args.get('page', 1, type=int)\n    pagination = Post.query.paginate(page=page, per_page=5)\n    return jsonify([...]) # Return paginated data"""
"एक यूज़र रजिस्ट्रेशन के लिए API एंडपॉइंट","""@app.route('/api/register', methods=['POST'])\ndef register():\n    # ... create user and hash password ...\n    return jsonify({'message': 'User created'})"""
"एक यूज़र लॉगइन के लिए API एंडपॉइंट जो JWT टोकन लौटाए","""@app.route('/api/login', methods=['POST'])\ndef login():\n    # ... check credentials ...\n    # token = create_jwt_token(...)\n    return jsonify({'token': token})"""
"एक प्रोटेक्टेड API रूट बनाओ जो JWT टोकन की जाँच करे","""@app.route('/api/protected')\n@jwt_required()\ndef protected():\n    return jsonify({'message': 'This is a protected route'})"""
"ब्लॉग के लिए एक 'Tag' मॉडल बनाओ (Many-to-Many)","""tags = db.Table('tags', ...)\nclass Post(db.Model):\n    tags = db.relationship('Tag', secondary=tags, backref='posts')"""
"एक पोस्ट को उसके टैग्स के साथ लौटाने वाला API","""@app.route('/api/posts/<int:id>')\ndef get_post_with_tags(id):\n    post = Post.query.get(id)\n    return jsonify({'title': post.title, 'tags': [tag.name for tag in post.tags]})"""
"एक सर्च API बनाओ जो टाइटल और कंटेंट में खोजे","""@app.route('/api/search')\ndef search():\n    query = request.args.get('q')\n    results = Post.query.filter(Post.title.contains(query) | Post.content.contains(query)).all()\n    return jsonify([...])"""
"Flask-CORS का उपयोग करके API पर CORS इनेबल करो","""from flask_cors import CORS\nCORS(app, resources={r'/api/*': {'origins': '*'}})"""
"Flask-SQLAlchemy में रिलेशनशिप के लिए `back_populates` का उपयोग करो","""class User(db.Model):\n    posts = db.relationship('Post', back_populates='author')\n\nclass Post(db.Model):\n    author = db.relationship('User', back_populates='posts')"""
"एक ब्लॉग पोस्ट पर 'लाइक' करने के लिए API","""@app.route('/api/posts/<int:id>/like', methods=['POST'])\ndef like_post(id):\n    post = Post.query.get(id)\n    post.likes += 1\n    db.session.commit()\n    return jsonify({'likes': post.likes})"""
"ब्लॉग पोस्ट मॉडल में `likes` कॉलम जोड़ो","""likes = db.Column(db.Integer, default=0)"""
"ब्लॉग पोस्ट्स को लाइक्स की संख्या के आधार पर सॉर्ट करो","""popular_posts = Post.query.order_by(Post.likes.desc()).limit(5).all()"""
"Flask में यूनिट टेस्ट के लिए एक टेस्ट डेटाबेस कॉन्फ़िगर करो","""app.config['SQLALCHEMY_DATABASE_URI'] = 'sqlite:///:memory:'"""
"एक API एंडपॉइंट का pytest से टेस्ट लिखो","""def test_get_posts(client):\n    response = client.get('/api/posts')\n    assert response.status_code == 200"""
"ब्लूप्रिंट का उपयोग करके एडमिन सेक्शन बनाओ","""admin_bp = Blueprint('admin', __name__, url_prefix='/admin')"""
"एक API बनाओ जो YAML डेटा लौटाए","""import yaml\n@app.route('/api/data.yaml')\ndef get_yaml():\n    data = {'a': 1}\n    return Response(yaml.dump(data), mimetype='text/yaml')"""
"Flask में एक कस्टम CLI कमांड बनाओ","""@app.cli.command('create-user')\n@click.argument('name')\ndef create_user(name):\n    # ... logic to create user ..."""
"SQLAlchemy में eager लोडिंग का उपयोग करो","""posts = Post.query.options(db.joinedload(Post.author)).all()"""
"SQLAlchemy में lazy लोडिंग का उपयोग करो","""# This is the default behavior\npost = Post.query.get(1)\n# The author is fetched from the DB only when you access it:\nprint(post.author.name)"""
"एक API बनाओ जो एक फाइल डाउनलोड करवाए","""from flask import send_file\n@app.route('/download')\ndef download_file():\n    return send_file('my_file.zip', as_attachment=True)"""
"अपने Flask ऐप के लिए एक `config.py` फाइल बनाओ","""# config.py\nclass Config:\n    SECRET_KEY = os.environ.get('SECRET_KEY')\n    SQLALCHEMY_DATABASE_URI = os.environ.get('DATABASE_URI')"""
"फैक्ट्री पैटर्न का उपयोग करके Flask ऐप बनाओ","""def create_app(config_class=Config):\n    app = Flask(__name__)\n    app.config.from_object(config_class)\n    db.init_app(app)\n    return app"""
"ब्लॉग पोस्ट में Markdown कंटेंट को सपोर्ट करो","""import markdown\n@app.route('/posts/<int:id>')\ndef show_post(id):\n    post = Post.query.get(id)\n    post.content_html = markdown.markdown(post.content)\n    return render_template('post.html', post=post)"""
"एक API बनाओ जो इमेज अपलोड को हैंडल करे","""@app.route('/api/upload', methods=['POST'])\ndef upload_image():\n    file = request.files['image']\n    # ... save file securely ...\n    return jsonify({'url': file_url})"""
"ब्लॉग पोस्ट मॉडल में एक 'status' फील्ड (draft, published) जोड़ो","""status = db.Column(db.String(10), default='draft', nullable=False)"""
"सिर्फ पब्लिश हुए पोस्ट्स को दिखाने वाला एक API बनाओ","""@app.route('/api/published-posts')\ndef get_published_posts():\n    posts = Post.query.filter_by(status='published').all()\n    return jsonify([...])"""
"SQLAlchemy में एक हाइब्रिड प्रॉपर्टी बनाओ","""from sqlalchemy.ext.hybrid import hybrid_property\nclass User(db.Model):\n    # ... first_name, last_name columns ...\n    @hybrid_property\n    def full_name(self):\n        return self.first_name + ' ' + self.last_name"""
"API रिस्पॉन्स के लिए एक कस्टम JSON एन्कोडर बनाओ","""import json\nfrom datetime import date\nclass CustomJSONEncoder(json.JSONEncoder):\n    def default(self, obj):\n        if isinstance(obj, date):\n            return obj.isoformat()\n        return super().default(obj)"""
